appid,name,description,price,release_date,developer,publisher,tags
1488060,Lasertron,"Arkanoid with optic styled physics and different bonuses. Lasertrons can be reflected, refracted, decompose into a spectrum of lasertrons, change their colors. Clean the playing field by lasertrons!",₹ 690,"28 Dec, 2020",GraphXGames,GraphXGames,"Action, Casual, Indie"
1488070,Vesper: Ether Saga - Episode 1,"Live the adventures of Vesper, the comic book heroine, through a video game mixing role-playing, tactical and card game features, with graphics mingling traditional watercolor drawings and pixel art. Come and discover the world imagined by Jérémy.",₹ 499,"16 Aug, 2022",Sylvain Harlaut,Sylvain Harlaut,"Indie, RPG, Strategy, Early Access"
1488080,Hentai Nureta Puzzle Cyberpunk,Cyberpunk Hentai Puzzle is available NOW. PLAY the extremely relaxing game in cyberpunk world. Artistic images for anime hentai fans from around the world.Listen to music and arrange pictures with cute girls in HOT scenes.,₹ 85,"18 Dec, 2020",Bad Kong Games,Bad Kong Games,"Casual, Indie, RPG"
1488100,IncrediMarble,"Build amazing marble contraptions with IncrediMarble! There, I used the word contraptions. Are you happy?",₹ 345,"25 Jan, 2021",Dave Kap,Dave Kap,"Casual, Indie, Simulation, Early Access"
1488110,Puzzle Box,"A cute little indiegame where the goal is to go through all the levels and reach the cake, but be quick! The crow might get the before you, and maybe you have to shapeshift into something different to be quicker.",₹ 155,"30 Jan, 2022",Box Production,Box Production,"Adventure, Casual, Indie"
1488150,Twinstick Arcade,"Retro shooting, perfected. Blast and dash through in a gorgeous retro 2D world! Explore and fight your way out of the arcade machine!",₹ 165,"16 Jul, 2021",Aquinas Games,Aquinas Games,"Action, Adventure, Casual, Indie"
1488160,The Deed of Deception,"The Deed of Deception starts as a 3+ player cooperative puzzle game. Working together to find the deed and inherit your fortune. Once the deed is discovered the players realize that there is no inheritance to be had. There is something in this manor. Something ancient, something…evil.","₹ 1,502","18 Feb, 2022",Objective Reality Inc.,Objective Reality Inc.,"Adventure, Indie, Strategy"
1488170,Mediterranean Assault: 1943,"Delivering Hectic firefights, Mediterranean Assault: 1943 takes players across some of Italy and Africa's forgotten fronts.",₹ 519,"16 Feb, 2021",NestTree Games,NestTree Games,"Action, RPG, Strategy, Early Access"
1488200,Symphony of War: The Nephilim Saga,"Enter Tahnra, a land savaged by war. You, a fresh academy graduate with humble beginnings, will grow to lead a grand army against a corrupt adversary. Gather heroes, form bonds, and lead your force in turn-based battles. Make use of tactics, terrain, morale and more to bring peace to the land!",₹ 880,"10 Jun, 2022",Dancing Dragon Games,indie.io,"Adventure, Indie, RPG, Strategy"
1488220,VR Brewing Simulator,"Learn the art of beer brewing on a commercial scale in this first-person, virtual reality simulator, moving around the brewery you will be turning valves, adjusting temperatures, grabbing, weighing and using the correct ingredients and vessels at the right times using your virtual hands. Let's brew!",₹ 155,"23 Dec, 2020",Eirtep,Eirtep,"Simulation, Early Access"
1488240,Doggo Quest,Doggo Quest is a quirky watercolored RPG featuring a lost dog trying to find its way home.,N/A,To be announced,meebob,meebob,"Adventure, Casual, Indie, RPG"
1488250,幻想啟示錄,"The Revelation of Gensokyo is a game that combines dungeon exploration and tactics game. In the randomly generated maze, make good use of unique characters to defeat the enemy!",₹ 349,"24 Sep, 2021",微笑的貘,貘貘耕耘,RPG
1488260,ベオグラードメトロの子供たち オリジナルサウンドトラック,&quot;Children of Belgrade Metro&quot; OST,₹ 379,"17 Dec, 2020",Summertime,Summertime,
1488270,GLASS Original Soundtrack,Original Sound Track of [GLASS],₹ 105,"5 Dec, 2020",TeamSnowball,TSB,
1488280,GLASS - Art Book,ARTbook of GLASS,₹ 155,"21 Sep, 2021",TeamSnowball,TSB,"Adventure, Casual, Indie"
1488300,The Tower Of TigerQiuQiu Ninja Thet,"AboutThe ninjas who hunt you down also start using the rocks on the mountain to crush you. But the stone they used seemed a little too big. Be careful not to be touched by stones, destroy all enemy ninjas, and get the chest.",₹ 155,"1 Dec, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1488310,Renown,"Renown is a fast paced multiplayer survival experience set in a vast and ever changing medieval world. Players begin with nothing, gather resources, build a kingdom and fight to survive in the hopes of becoming renowned across the land.",N/A,Coming soon,RDBK Studios,RDBK Studios,"Action, Adventure, Indie, Simulation"
1488320,Tengam,"A clever, bite-sized puzzler with a unique, magnetic mechanic",N/A,Coming soon,David Kilmer,Deuteranopia,Indie
1488400,Mo,"I hope everyone will care for the earth, be peaceful and friendly, and don’t hurt animals. Thank you for everything.",N/A,Coming soon,Drou,Dro,"Adventure, Casual, Indie, RPG, Strategy"
1488430,Fueled Up,"Fueled Up is a chaotic couch co-op spaceship recovery game for up to four players. You and your crewmates must fuel, fix and rescue damaged spaceships before the evil space octopus gets its tentacles on them!",₹ 279,"13 Oct, 2022",Fireline Games,Fireline Games,"Action, Casual, Indie"
1488440,Bullet Shot,"Your opponent is about to shoot you but you don't have a gun? Doesn't matter, when he shoots simply rotate the bullet 180 degrees. Bullet Shot is a game where you can use your psychic abilities to control the bullets and time. Improve your skills and find the best strategies to complete the stages.",₹ 419,"28 May, 2021",Gamequad,Gamequad,"Indie, Early Access"
1488490,Nivalis,"Grow your business, manage restaurants and nightclubs, make friends and enemies, buy and decorate apartments, go fishing and maybe even find love in Nivalis, the city that stretches from the ocean to the clouds.",N/A,2025,ION LANDS,505 Games,"Adventure, RPG, Simulation"
1488500,The Adventures on Uranus,The Adventures on Uranus is a short interactive experience. The game provides a chance to explore the imaginary planet of Uranus for a few minutes.,₹ 85,"17 Dec, 2020",PizzaMen,PizzaMen,Action
1488510,VRNOID,"VRNOID is the perfect mix of bricks breaker and Air Hockey in VR. Swing your striker to hit the ball. Destroy bricks and enemies, collect power-ups, and dodge bullets. Prepare yourself for challenging levels and bosses that are waiting for you in this retro arcade game.",₹ 480,"4 Mar, 2023",Fullmetal Developer,Fullmetal Developer,"Action, Casual, Sports"
1488530,The Host: Cataclysm,"After a Post-Armageddon event the world has gone back to its roots living in simpler times, back to swords, kings, and war. After the hero has chosen evil the world is left in ruins as everyone struggles to survive in this new found world.",N/A,Coming soon,Xonomy,Xonomy,"Action, Adventure, Indie, RPG, Simulation"
1488540,Decaying Delicacy,"Poor girl, sweet thing. Licked like a lollipop. This world is going to consume her. She's just too tasty for her own good. Run, run for your life, you poor unfortunate girl! Wash in the colors, break through your walls! You're my favorite flavor, I'm gonna' catch you~",₹ 155,"29 Apr, 2021",Yai Gameworks,Yai Gameworks,"Adventure, Indie"
1488560,Football Simulator,"Moddable physics football game where you can struggle through and break tackles for first downs, juggle tipped passes and make diving interceptions. You can also be the cinematographer and create your own videos using the replay system or go on quests with players as the coach in RPG Mode.",₹ 529,"8 Jun, 2022",Refactor Games,Refactor Games,"Action, Sports, Early Access"
1488580,AnyWay! - Challenge #7,"AnyWay! - Challenge #7 Challenges mean new locations and levels to pass through. The levels are more difficult than the main storyline. They require proper training, skills and reaction!",₹ 105,"3 Dec, 2020",EYEFRONT,EYEFRONT,"Adventure, Casual, Indie"
1488581,AnyWay! - Challenge #8,"AnyWay! - Challenge #8 Challenges mean new locations and levels to pass through. The levels are more difficult than the main storyline. They require proper training, skills and reaction!",₹ 105,"3 Dec, 2020",EYEFRONT,EYEFRONT,"Adventure, Casual, Indie"
1488600,Sam & Max Season One (2007 Original Version),The old-school Sam &amp; Max Season One experience: six episodes exactly as they were when they first released. Want to know what playing these games was like in 2006/2007? Now you can!,N/A,"2 Feb, 2021",Telltale Games,Skunkape Games,"Adventure, Indie"
1488620,Blind Shot,"Take on the role of a clumsy commando, sent to fight a zombie horde. Turn-based gameplay, unusual mechanics dependent on your own pace of play. Gameworld and events inspired by a myriad of cult action movie parodies. Die, but take many of those mumbling green dudes with you!",₹ 250,"30 Mar, 2021",Pixel Trapps,Forestlight Games,"Action, Casual, Indie"
1488640,Wholesome Slaughter,"Wholesome Slaughter is a retro style FPS set in a fantasy world! After stumbling into an unknown dimension, you must fight your way through hordes of the cute and innocent inhabitants of the land.",₹ 42,"25 Jan, 2021",Eclipse Game Labs,Patrick Simeon,"Action, Indie"
1488650,Velocity Noodle,"Master the art of lightning-fast noodle delivery in this challenging 2D platformer. With deadly traps, a range of moves to master, including teleportation, and trophies to unlock, are you ready to become the ultimate noodle delivery master?",₹ 610,"21 Jan, 2022",Shotgun Anaconda,"Top Hat Studios, Inc.","Action, Adventure, Indie"
1488670,Physics Cake,"Physics Cake is a 2-D physics simulation game where you can draw containers, objects, or anything you want really and put whatever chosen physical object you want inside of it.",₹ 42,"22 Aug, 2021",Merriman Games,Merriman Games,"Casual, Indie, Simulation"
1488700,CABARET 4 CARD,A logical battle using only 4 cards. A competitive card game that rewrites victory conditions.,₹ 165,"31 Dec, 2020",Yareyare,Yareyare,"Casual, Indie"
1488720,VR Mad Asylum,Escape in 45 minutes. Complete Virtual Reality Game Play. Terrible events take place in an old mental asylum. The crazy doctor is doing crazy experiments. But where it leads?,₹ 125,"5 Aug, 2021",Saturn VR,Saturn VR,"Action, Indie"
1488730,VR Basketball Hoops,"Attention basketball fanatics! Test your basketball practice and shot techniques in our Virtual reality basketball game - VR Basketball Hoops, a fun way to play Basketball!",₹ 85,"5 Aug, 2021",Saturn VR,"Saturn VR , NipsApp Gaming Software ","Casual, Simulation, Sports"
1488740,The Best BJ,"The Best BJ is a full featured Blackjack 21 simulator that pits you against a virtual casino Blackjack dealer! ..How good are you at &quot;BJ&quot; and are you ready to show off your impressive BJ skills? Whether you are a pro or looking to get better, &quot;The Best BJ&quot; is for you!",₹ 361,"21 Jul, 2021",ZaxtorGameS,ZaxtorGameS,"Casual, Indie, Simulation, Strategy"
1488750,VR Immortal Fight,Virtual Reality Fighting game with Insane 3d graphics and Fighting actions,₹ 199,"5 Aug, 2021",Saturn VR,"Saturn VR , NipsApp Gaming Softrware",Action
1488760,VR Treasure Raider,"After years of research, the entrance to an ancient island has been discovered. Beyond its doors are rumored to be riches guarded by cunning monsters and lethal traps. Be wary or be entombed. Good luck and have fun with virtual reality.",N/A,Coming soon,Saturn VR,Saturn VR,"Action, Adventure, Strategy"
1488780,The Tower Of TigerQiuQiu Ninja One,"AboutThe army of ninjas has finally arrived and the final battle has begun. In the cold wind, ice cones, rubble, falling rocks, break all the chasers.FeatureThe DLC include full 10 missions",₹ 155,"1 Dec, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1488810,Rabbit Hole,An ancient evil has descended upon the rural town of Rabbit Hole. Now Shaun Turner not only has to untangle a twisted web of supernatural events and mysteries to save his family but also escape from the hellish remains of his hometown.,₹ 400,"10 Sep, 2022",Nikita Ustinov, Blazes Games,"Action, Adventure, Indie"
1488820,Dark Fantasy Warriors,"Dark Fantasy Warrior is a third-person action role-playing game in Dark Souls style. Extremely dark, deep and DIFFICULT! All of that in this super action game and prepare to die. Are you ready to fight Darkness?",₹ 105,"23 Dec, 2020",WarriorsStudio,WarriorsStudio,"Action, Indie, RPG"
1488860,Insiders,"Welcome to the dangerous micro world hidden inside the human body. Pilot an advanced microship through the bloodstream, brain and kidneys. Mine resources, fight microbes, craft ship modules and weapons, build bases, discover new microorganisms and find a cure for cancer. Don’t get eaten!",₹ 439,"29 Oct, 2021",ANG People s.r.o.,ANG People s.r.o.,"Action, Adventure, Indie, RPG, Simulation"
1488870,Orpheus: Fall For Eurydice Soundtrack,/,N/A,,Astroreef,Astroreef,
1488960,Something Strange in the Woods,"Something Strange is happening in the Woods, different creatures appear endlessly, which upsets the balance. Can you maintain balance by freeing the forest from these creatures?",₹ 52,"16 Dec, 2020",Moenen,INFINITE BRIDGE,"Action, Casual, Indie"
1489000,The World's Hardest Game 3D,"Easy to play, very hard to finish. The World's Hardest Game, which you used to play on flash game sites, is now with you in 3D. Good luck in this challenging game of 30 unique levels!",₹ 125,"2 Feb, 2021",Batuhan Ertan,Batuhan Ertan,"Casual, Indie"
1489010,The Picture in The House,A journey through ancient mysteries and forces described by the original short story &quot;The Picture in the House&quot; written by H.P Lovecraft.,N/A,"30 Dec, 2020",Dystopia Game Studio,Dystopia Game Studio,"Adventure, Free To Play, Indie"
